Date,Predicted_Energy_Surplus
2020-06-09,-0.0005809069087215513
2020-06-10,-0.00019695420136779548
2020-06-11,-0.00014811583917818963
2020-06-12,-0.0003063425308456272
2020-06-13,-0.00046538855385802683
2020-06-14,0.0002503583655187488
2020-06-15,-2.164030847132205e-05
2020-06-16,-0.0004896589434599878
2020-06-17,-0.0002090195458701253
2020-06-18,-0.00040275527552075674
2020-06-19,-0.0008319326565492526
2020-06-20,-0.000695427106269598
2020-06-21,-0.0005273189563729614
2020-06-22,-0.00032635930193141105
2020-06-23,-0.0008489608244945854
2020-06-24,-0.0006726305924915521
2020-06-25,-0.0005130697255975008
2020-06-26,-0.0009131578519395369
2020-06-27,-0.0011387201164314894
2020-06-28,-0.0004368445227547735
2020-06-29,-0.0006087372469875216
2020-06-30,-0.00042407077884800727
